"Step","offset 100 (3) - loss","offset 100 (3) - loss__MIN","offset 100 (3) - loss__MAX","offset 100 (2) - loss","offset 100 (2) - loss__MIN","offset 100 (2) - loss__MAX","offset 100 (1) - loss","offset 100 (1) - loss__MIN","offset 100 (1) - loss__MAX","offset 100 (5) - loss","offset 100 (5) - loss__MIN","offset 100 (5) - loss__MAX","offset 100 (4) - loss","offset 100 (4) - loss__MIN","offset 100 (4) - loss__MAX"
"8300","0.000035426834074314684","0.000035426834074314684","0.000035426834074314684","0.00006515283894259483","0.00006515283894259483","0.00006515283894259483","5.573789596557617","5.573789596557617","5.573789596557617","5.566449165344238","5.566449165344238","5.566449165344238","5.585482597351074","5.585482597351074","5.585482597351074"
"8400","0.00003246901906095445","0.00003246901906095445","0.00003246901906095445","0.00006315627979347482","0.00006315627979347482","0.00006315627979347482","5.520563125610352","5.520563125610352","5.520563125610352","5.505331993103027","5.505331993103027","5.505331993103027","5.533842086791992","5.533842086791992","5.533842086791992"
"8500","0.000027246325771557167","0.000027246325771557167","0.000027246325771557167","0.000059438800235511735","0.000059438800235511735","0.000059438800235511735","5.569204330444336","5.569204330444336","5.569204330444336","5.558942794799805","5.558942794799805","5.558942794799805","5.580550193786621","5.580550193786621","5.580550193786621"
"8600","0.000026776984668686055","0.000026776984668686055","0.000026776984668686055","0.000052823135774815455","0.000052823135774815455","0.000052823135774815455","5.5714030265808105","5.5714030265808105","5.5714030265808105","5.516599655151367","5.516599655151367","5.516599655151367","5.50618314743042","5.50618314743042","5.50618314743042"
"8700","0.000027730613510357216","0.000027730613510357216","0.000027730613510357216","0.00005163828973309137","0.00005163828973309137","0.00005163828973309137","5.558405876159668","5.558405876159668","5.558405876159668","5.53692102432251","5.53692102432251","5.53692102432251","5.5378642082214355","5.5378642082214355","5.5378642082214355"
"8800","0.000025689212634461","0.000025689212634461","0.000025689212634461","0.0000464308395748958","0.0000464308395748958","0.0000464308395748958","5.529535293579102","5.529535293579102","5.529535293579102","5.597435474395752","5.597435474395752","5.597435474395752","5.544582843780518","5.544582843780518","5.544582843780518"
"8900","0.000023401946236845106","0.000023401946236845106","0.000023401946236845106","0.000048889327445067465","0.000048889327445067465","0.000048889327445067465","5.511949062347412","5.511949062347412","5.511949062347412","5.522821426391602","5.522821426391602","5.522821426391602","5.514194488525391","5.514194488525391","5.514194488525391"
"9000","0.00002294003206770867","0.00002294003206770867","0.00002294003206770867","0.00004801021714229137","0.00004801021714229137","0.00004801021714229137","5.493205547332764","5.493205547332764","5.493205547332764","5.541366100311279","5.541366100311279","5.541366100311279","5.546644687652588","5.546644687652588","5.546644687652588"
"9100","0.000024303444661200047","0.000024303444661200047","0.000024303444661200047","0.00004324207111494616","0.00004324207111494616","0.00004324207111494616","5.5355143547058105","5.5355143547058105","5.5355143547058105","5.550624370574951","5.550624370574951","5.550624370574951","5.5417256355285645","5.5417256355285645","5.5417256355285645"
"9200","0.000020615507310139947","0.000020615507310139947","0.000020615507310139947","0.00004282491863705218","0.00004282491863705218","0.00004282491863705218","5.5151448249816895","5.5151448249816895","5.5151448249816895","5.545691013336182","5.545691013336182","5.545691013336182","5.545517444610596","5.545517444610596","5.545517444610596"
"9300","0.00002102527469105553","0.00002102527469105553","0.00002102527469105553","0.00003638786802184768","0.00003638786802184768","0.00003638786802184768","5.455604553222656","5.455604553222656","5.455604553222656","5.510311603546143","5.510311603546143","5.510311603546143","5.55697774887085","5.55697774887085","5.55697774887085"
"9400","0.000014170886970532592","0.000014170886970532592","0.000014170886970532592","0.00003539702083799057","0.00003539702083799057","0.00003539702083799057","5.607614040374756","5.607614040374756","5.607614040374756","5.5503830909729","5.5503830909729","5.5503830909729","5.55495548248291","5.55495548248291","5.55495548248291"
"9500","0.000017352222130284645","0.000017352222130284645","0.000017352222130284645","0.00003359405673108995","0.00003359405673108995","0.00003359405673108995","5.379815578460693","5.379815578460693","5.379815578460693","5.5273027420043945","5.5273027420043945","5.5273027420043945","5.553068161010742","5.553068161010742","5.553068161010742"
"9600","0.000013686600141227245","0.000013686600141227245","0.000013686600141227245","0.000028699152608169243","0.000028699152608169243","0.000028699152608169243","5.514009475708008","5.514009475708008","5.514009475708008","5.526957035064697","5.526957035064697","5.526957035064697","5.52451753616333","5.52451753616333","5.52451753616333"
