"Step","offset 100 (3) - mu_0","offset 100 (3) - mu_0__MIN","offset 100 (3) - mu_0__MAX","offset 100 (2) - mu_0","offset 100 (2) - mu_0__MIN","offset 100 (2) - mu_0__MAX","offset 100 (1) - mu_0","offset 100 (1) - mu_0__MIN","offset 100 (1) - mu_0__MAX","offset 100 (5) - mu_0","offset 100 (5) - mu_0__MIN","offset 100 (5) - mu_0__MAX","offset 100 (4) - mu_0","offset 100 (4) - mu_0__MIN","offset 100 (4) - mu_0__MAX"
"6300","99.46004486083984","99.46004486083984","99.46004486083984","98.92871856689453","98.92871856689453","98.92871856689453","174.98056030273438","174.98056030273438","174.98056030273438","42.924800872802734","42.924800872802734","42.924800872802734","177.8685302734375","177.8685302734375","177.8685302734375"
"6400","99.48780822753906","99.48780822753906","99.48780822753906","99.05560302734375","99.05560302734375","99.05560302734375","174.58184814453125","174.58184814453125","174.58184814453125","43.633949279785156","43.633949279785156","43.633949279785156","177.394287109375","177.394287109375","177.394287109375"
"6500","99.5146484375","99.5146484375","99.5146484375","99.04287719726562","99.04287719726562","99.04287719726562","173.8660430908203","173.8660430908203","173.8660430908203","43.74972915649414","43.74972915649414","43.74972915649414","177.40707397460938","177.40707397460938","177.40707397460938"
"6600","99.54151916503906","99.54151916503906","99.54151916503906","99.05770111083984","99.05770111083984","99.05770111083984","173.86415100097656","173.86415100097656","173.86415100097656","43.950069427490234","43.950069427490234","43.950069427490234","176.8759307861328","176.8759307861328","176.8759307861328"
"6700","99.5682601928711","99.5682601928711","99.5682601928711","99.10269927978516","99.10269927978516","99.10269927978516","172.82382202148438","172.82382202148438","172.82382202148438","43.8222541809082","43.8222541809082","43.8222541809082","179.05691528320312","179.05691528320312","179.05691528320312"
"6800","99.59540557861328","99.59540557861328","99.59540557861328","99.1257095336914","99.1257095336914","99.1257095336914","173.20623779296875","173.20623779296875","173.20623779296875","43.99007034301758","43.99007034301758","43.99007034301758","178.23146057128906","178.23146057128906","178.23146057128906"
"6900","99.62598419189453","99.62598419189453","99.62598419189453","99.1493148803711","99.1493148803711","99.1493148803711","173.42041015625","173.42041015625","173.42041015625","44.18390655517578","44.18390655517578","44.18390655517578","179.02078247070312","179.02078247070312","179.02078247070312"
"7000","99.65277862548828","99.65277862548828","99.65277862548828","99.1743392944336","99.1743392944336","99.1743392944336","173.8537139892578","173.8537139892578","173.8537139892578","43.856746673583984","43.856746673583984","43.856746673583984","178.5688934326172","178.5688934326172","178.5688934326172"
"7100","99.69234466552734","99.69234466552734","99.69234466552734","99.2004623413086","99.2004623413086","99.2004623413086","172.91416931152344","172.91416931152344","172.91416931152344","43.40164566040039","43.40164566040039","43.40164566040039","179.43206787109375","179.43206787109375","179.43206787109375"
"7200","99.73320770263672","99.73320770263672","99.73320770263672","99.22708129882812","99.22708129882812","99.22708129882812","173.18959045410156","173.18959045410156","173.18959045410156","43.223758697509766","43.223758697509766","43.223758697509766","179.70025634765625","179.70025634765625","179.70025634765625"
"7300","99.76000213623047","99.76000213623047","99.76000213623047","99.24215698242188","99.24215698242188","99.24215698242188","173.32652282714844","173.32652282714844","173.32652282714844","43.631961822509766","43.631961822509766","43.631961822509766","179.96180725097656","179.96180725097656","179.96180725097656"
"7400","99.78600311279297","99.78600311279297","99.78600311279297","99.26878356933594","99.26878356933594","99.26878356933594","174.2361602783203","174.2361602783203","174.2361602783203","44.159297943115234","44.159297943115234","44.159297943115234","180.2594451904297","180.2594451904297","180.2594451904297"
