"Step","offset 200 (3) modulo - loss","offset 200 (3) modulo - loss__MIN","offset 200 (3) modulo - loss__MAX","offset 200 (2) modulo - loss","offset 200 (2) modulo - loss__MIN","offset 200 (2) modulo - loss__MAX","offset 200 (1) modulo - loss","offset 200 (1) modulo - loss__MIN","offset 200 (1) modulo - loss__MAX"
"11600","0.00001667411925154738","0.00001667411925154738","0.00001667411925154738","0.0001773592666722834","0.0001773592666722834","0.0001773592666722834","0.000011227931281609926","0.000011227931281609926","0.000011227931281609926"
"11700","0.00001991493809327949","0.00001991493809327949","0.00001991493809327949","0.00005200169107411057","0.00005200169107411057","0.00005200169107411057","5.757483005523682","5.757483005523682","5.757483005523682"
"11800","0.000015370385881396942","0.000015370385881396942","0.000015370385881396942","0.00004974324838258326","0.00004974324838258326","0.00004974324838258326","0.10946778953075409","0.10946778953075409","0.10946778953075409"
"11900","0.000024183875211747363","0.000024183875211747363","0.000024183875211747363","0.00002007142575166654","0.00002007142575166654","0.00002007142575166654","0.0002582822344265878","0.0002582822344265878","0.0002582822344265878"
"12000","0.000012487032108765561","0.000012487032108765561","0.000012487032108765561","0.000017866172129288316","0.000017866172129288316","0.000017866172129288316","0.000053200219554128125","0.000053200219554128125","0.000053200219554128125"
"12100","0.00008041313412832096","0.00008041313412832096","0.00008041313412832096","0.000013857908015779685","0.000013857908015779685","0.000013857908015779685","0.00004935638207825832","0.00004935638207825832","0.00004935638207825832"
"12200","0.00001617492307559587","0.00001617492307559587","0.00001617492307559587","0.000022269234250416048","0.000022269234250416048","0.000022269234250416048","0.000021971261958242394","0.000021971261958242394","0.000021971261958242394"
"12300","0.0000157651611516485","0.0000157651611516485","0.0000157651611516485","0.00001844719736254774","0.00001844719736254774","0.00001844719736254774","5.722980976104736","5.722980976104736","5.722980976104736"
"12400","0.000020563111320370808","0.000020563111320370808","0.000020563111320370808","0.000007301523510250263","0.000007301523510250263","0.000007301523510250263","5.570544719696045","5.570544719696045","5.570544719696045"
"12500","0.00000749521177567658","0.00000749521177567658","0.00000749521177567658","0.000011593000635912176","0.000011593000635912176","0.000011593000635912176","0.0010474115842953324","0.0010474115842953324","0.0010474115842953324"
